id,Action,FieldID,FieldType,FieldValue,ExpectedResult
1,NAV,xPath,null,null,Pass
2,SET,gateway1_mode,DDL,Inactive,Pass
3,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
4,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
5,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
6,GET,gateway1_mode,DDL,0,Pass
7,SET,gateway1_mode,DDL,Modbus_TCP_Server,Pass
8,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
9,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
10,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
11,GET,gateway1_mode,DDL,2,Pass
12,SET,gateway1_mode,DDL,Raw_TCP_Server,Pass
13,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
14,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
15,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
16,SET,gateway1_interfaceBinding,DDL,Management,Pass
17,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
18,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
19,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
20,GET,gateway1_interfaceBinding,DDL,0,Pass
21,SET,gateway1_interfaceBinding,DDL,Sub-interface_1,Pass
22,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
23,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
24,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
25,GET,gateway1_interfaceBinding,DDL,1,Pass
26,SET,gateway1_interfaceBinding,DDL,Sub-interface_2,Pass
27,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
28,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
29,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
30,GET,gateway1_interfaceBinding,DDL,2,Pass
31,SET,gateway1_comPort,DDL,Unassigned,Pass
32,SET,xpath=//input[@name='gateway1_raw_tcpServer_packetlen'],text,1000,Pass
33,SET,xpath=//input[@name='gateway1_raw_tcpServer_forceTransmit'],text,20,Pass
34,SET,gateway1_raw_tcpServer_enableDelim1,checkbox,on,Pass
35,SET,xpath=//input[@name='gateway1_raw_tcpServer_delim1'],text,0xff,Pass
36,SET,gateway1_raw_tcpServer_enableDelim2,checkbox,on,Pass
37,SET,xpath=//input[@name='gateway1_raw_tcpServer_delim2'],text,0xf1,Pass
38,SET,gateway1_raw_tcpServer_delimAction,DDL,Do_Nothing,Pass
39,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
40,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
41,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
42,GET,gateway1_mode,DDL,1,Pass
43,GET,gateway1_comPort,DDL,0,Pass
44,GET,xpath=//input[@name='gateway1_raw_tcpServer_packetlen'],text,1000,Pass
45,GET,xpath=//input[@name='gateway1_raw_tcpServer_forceTransmit'],text,20,Pass
46,GET,gateway1_raw_tcpServer_enableDelim1,checkbox,on,Pass
47,GET,xpath=//input[@name='gateway1_raw_tcpServer_delim1'],text,0xff,Pass
48,GET,gateway1_raw_tcpServer_enableDelim2,checkbox,on,Pass
49,GET,xpath=//input[@name='gateway1_raw_tcpServer_delim2'],text,0xf1,Pass
50,GET,gateway1_raw_tcpServer_delimAction,DDL,0,Pass
51,SET,gateway1_comPort,DDL,DATA1,Pass
52,SET,gateway1_raw_tcpServer_enableDelim2,checkbox,off,Pass
53,SET,gateway1_raw_tcpServer_delimAction,DDL,Delimiter_Plus_1,Pass
54,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
55,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
56,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
57,GET,gateway1_comPort,DDL,1,Pass
58,GET,gateway1_raw_tcpServer_enableDelim2,checkbox,off,Pass
59,GET,gateway1_raw_tcpServer_delimAction,DDL,1,Pass
60,SET,gateway1_raw_tcpServer_delimAction,DDL,Strip,Pass
61,SET,xpath=//input[@name='gateway1_raw_tcpServer_tcpPort'],text,6000,Pass
62,SET,xpath=//input[@name='gateway1_raw_tcpServer_maxConn'],text,8,Pass
63,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
64,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
65,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
66,GET,gateway1_raw_tcpServer_delimAction,DDL,3,Pass
67,GET,xpath=//input[@name='gateway1_raw_tcpServer_tcpPort'],text,6000,Pass
68,GET,xpath=//input[@name='gateway1_raw_tcpServer_maxConn'],text,8,Pass
69,SET,gateway2_mode,DDL,Inactive,Pass
70,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
71,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
72,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
73,GET,gateway2_mode,DDL,0,Pass
74,SET,gateway2_mode,DDL,Modbus_TCP_Server,Pass
75,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
76,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
77,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
78,GET,gateway2_mode,DDL,2,Pass
79,SET,gateway2_mode,DDL,Raw_TCP_Server,Pass
80,SET,gateway2_comPort,DDL,Unassigned,Pass
81,SET,gateway2_interfaceBinding,DDL,Management,Pass
82,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
83,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
84,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
85,GET,gateway2_interfaceBinding,DDL,0,Pass
86,SET,gateway2_interfaceBinding,DDL,Sub-interface_1,Pass
87,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
88,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
89,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[3],button,Refresh,Pass
90,GET,gateway2_interfaceBinding,DDL,1,Pass
91,SET,gateway2_interfaceBinding,DDL,Sub-interface_2,Pass
92,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[1],button,Apply,Pass
93,CLICK,xpath=//html/body/div/div[2]/div/div/form/table/tbody/tr/td[1]/div/button[2],button,Apply &Save,Pass
